ID,Obverse Copyright,Obverse License,Obverse Picture,Reverse Copyright,Reverse License,Reverse Picture,Issuer
20244,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/albanie/5f459aa7a33b62.27764339-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/albanie/5f459aa80e47d2.89080430-original.jpg,Albania
6753,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/5ef671a7708e29.44293862-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/5ef671a7e78074.93128724-original.jpg,Andorra
6754,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/5f463b2985e2a7.56923662-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/5f463b29d3d665.48243570-original.jpg,Andorra
6755,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/5f4642b09045d6.02660188-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/5f4642b1059b46.75520801-original.jpg,Andorra
13696,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/62534a3973f973.33044452-original.jpg,tolnomur,CC BY-NC-SA,https://en.numista.com/catalogue/photos/andorre/62534a39d86fb6.25607537-original.jpg,Andorra
28381,,CC BY-NC,https://en.numista.com/catalogue/photos/andorre/6086acabcf3216.48963416-original.jpg,,CC BY-NC,https://en.numista.com/catalogue/photos/andorre/6086acac1ccd17.15459140-original.jpg,Andorra
43263,gvaicika,CC BY-NC-SA,https://en.numista.com/catalogue/photos/argentine/1563-original.jpg,gvaicika,CC BY-NC-SA,https://en.numista.com/catalogue/photos/argentine/1564-original.jpg,Argentina
6727,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/armenie/5f90fce13ce492.97421314-original.jpg,Ben-jamin,CC0,https://en.numista.com/catalogue/photos/armenie/5f90fce1a5f8d5.38728696-original.jpg,Armenia
161175,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/9056-original.jpg,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/9057-original.jpg,Australia
167591,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/9058-original.jpg,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/9059-original.jpg,Australia
1566,brismike,CC BY-NC,https://en.numista.com/catalogue/photos/australie/65c4cbb57eb274.30709594-original.jpg,brismike,CC BY-NC,https://en.numista.com/catalogue/photos/australie/65c4cbb6bf6869.92288849-original.jpg,Australia
32195,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/8231-original.jpg,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/8232-original.jpg,Australia
167593,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/9060-original.jpg,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/9061-original.jpg,Australia
225419,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/5f0eaf4c97edb0.40303604-original.jpg,Mike Bentley,CC BY-NC,https://en.numista.com/catalogue/photos/australie/5f0eaf4d2552d0.23648086-original.jpg,Australia
1565,brismike,CC BY-NC,https://en.numista.com/catalogue/photos/australie/65924dded9cc41.92291264-original.jpg,brismike,CC BY-NC,https://en.numista.com/catalogue/photos/australie/65924de02963b9.27754966-original.jpg,Australia
